ts_ms,fast_vwap,slow_vwap,vwap_color
1665705600000,19093.8066,19400.3828,red
1665720000000,19122.1523,19404.1699,red
1665734400000,19143.7363,19406.6895,red
1665748800000,19187.3906,19409.7129,red
1665763200000,19189.584,19406.1074,red
1665777600000,19187.8359,19403.5566,red
1665792000000,19187.6699,19402.498,red
1665806400000,19187.291,19401.4785,red
1665820800000,19184.959,19399.1895,red
1665835200000,19183.5645,19397.457,red
1665849600000,19181.2051,19395.6172,red
1665864000000,19173.4805,19391.2871,red
1665878400000,19172.2148,19390.1133,red
1665892800000,19171.0801,19388.793,red
1665907200000,19169.7871,19387.1387,red
1665921600000,19169.084,19386.1602,red
1665936000000,19177.1582,19384.8047,red
1665950400000,19185.832,19381.4082,red
1665964800000,19186.793,19380.041,red
1665979200000,19189.9648,19378.8633,red
1665993600000,19211.5137,19379.3809,red
1666008000000,19260.6562,19384.3359,red
1666022400000,19275.4863,19385.8789,red
1666036800000,19287.6074,19387.3105,red
1666051200000,19303.0293,19389.1934,red
1666065600000,19328.957,19393.0684,red
1666080000000,19349.1602,19396.0664,red
1666094400000,19363.1738,19397.5273,red
1666108800000,19348.207,19393.0703,red
1666123200000,19345.7266,19391.7832,red
1666137600000,19343.4512,19390.918,red
1666152000000,19337.9258,19389.2676,red
1666166400000,19330.6191,19387.1094,red
1666180800000,19315.6973,19382.2852,red
1666195200000,19308.2441,19379.7246,red
1666209600000,19300.998,19377.4746,red
1666224000000,19268.1523,19368.1035,red
1666238400000,19259.75,19364.9922,red
1666252800000,19254.8027,19362.5449,red
1666267200000,19252.6172,19359.543,red
1666281600000,19231.459,19351.418,red
1666296000000,19218.418,19346.7207,red
1666310400000,19211.1348,19343.7891,red
1666324800000,19202.6816,19340.5801,red
1666339200000,19183.1387,19333.8652,red
1666353600000,19136.0684,19312.4199,red
1666368000000,19137.7773,19309.752,red
1666382400000,19138.6387,19308.8457,red
1666396800000,19138.5469,19307.7109,red
1666411200000,19138.752,19306.9355,red
1666425600000,19139.1387,19306.2188,red
1666440000000,19142.0703,19305.3125,red
1666454400000,19143.7695,19304.0898,red
1666468800000,19145.209,19303.4727,red
1666483200000,19146.1055,19302.9648,red
1666497600000,19147.2148,19301.6406,red
1666512000000,19147.0195,19300.418,red
1666526400000,19146.6621,19298.1602,red
1666540800000,19186.207,19301.1582,red
1666555200000,19227.0488,19307.1309,red
1666569600000,19245.4062,19309.5762,red
1666584000000,19251.8594,19309.7441,red
1666598400000,19262.9102,19311.0781,red
1666612800000,19266.5664,19310.3262,red
1666627200000,19269.752,19310.4512,red
1666641600000,19272.8203,19310.7188,red
1666656000000,19274.4453,19310.707,red
1666670400000,19276.1309,19310.6777,red
1666684800000,19276.5781,19310.3711,red
1666699200000,19354.8906,19327.8301,green
1666713600000,19563.623,19391.5547,green
1666728000000,19614.9746,19411.6406,green
1666742400000,19647.7266,19424.5449,green
1666756800000,19684.8828,19438.9961,green
1666771200000,19849.0684,19505.1562,green
1666785600000,20033.293,19594.2109,green
1666800000000,20092.1855,19626.3105,green
1666814400000,20135.1484,19650.7539,green
1666828800000,20158.877,19664.9941,green
1666843200000,20179.6543,19677.1582,green
1666857600000,20224.4258,19710.1426,green
1666872000000,20275.6152,19752.5625,green
1666886400000,20285.2715,19760.9316,green
1666900800000,20294.918,19785.9023,green
1666915200000,20292.873,19793.4805,green
1666929600000,20285.4336,19799.0449,green
1666944000000,20278.0371,19804.3184,green
1666958400000,20286.709,19829.7676,green
1666972800000,20308.1562,19847.0117,green
1666987200000,20315.377,19852.5215,green
1667001600000,20329.2461,19861.6133,green
1667016000000,20338.7539,19867.6621,green
1667030400000,20396.834,19902.4688,green
1667044800000,20427,19921.2051,green
1667059200000,20448.5996,19934.7871,green
1667073600000,20466.5938,19947.2695,green
1667088000000,20474.6543,19953.2422,green
1667102400000,20491.7012,19964.3281,green
1667116800000,20510.8027,19979.3965,green
1667131200000,20518.918,19987.7852,green
1667145600000,20523.5156,19994.6465,green
1667160000000,20530.9512,20006.5605,green
1667174400000,20531.2422,20013.4492,green
1667188800000,20531.0586,20020.9648,green
1667203200000,20542.7383,20034.918,green
1667217600000,20526.6445,20055.4766,green
1667232000000,20518.2812,20061.3262,green
1667246400000,20516.0176,20064.4219,green
1667260800000,20515.0586,20068.6836,green
1667275200000,20517.8145,20076.1836,green
1667289600000,20520,20083.4766,green
1667304000000,20512.8359,20091.0059,green
1667318400000,20510.084,20094.0586,green
1667332800000,20508.4082,20096.6543,green
1667347200000,20507.2539,20100.0098,green
1667361600000,20501.082,20106.3457,green
1667376000000,20496.2539,20110.9297,green
1667390400000,20490.5391,20114.4316,green
1667404800000,20443.0332,20147.4668,green
1667419200000,20416.8984,20147.3672,green
1667433600000,20408.6777,20148.8301,green
1667448000000,20405.4238,20150.4922,green
1667462400000,20388.5938,20150.6797,green
1667476800000,20361.7949,20152.7109,green
1667491200000,20355.8477,20153.9414,green
1667505600000,20351.9219,20154.3105,green
1667520000000,20349.2812,20155.2793,green
1667534400000,20367.5762,20166.084,green
1667548800000,20376.9902,20171.166,green
1667563200000,20512.2676,20237.5332,green
1667577600000,20558.541,20263.2031,green
1667592000000,20586.3652,20277.2461,green
1667606400000,20632.4805,20298.6582,green
1667620800000,20644.0625,20303.8496,green
1667635200000,20672.3047,20316.5195,green
1667649600000,20692.0703,20325.5488,green
1667664000000,20707.7832,20332.5859,green
1667678400000,20719.8223,20337.8672,green
1667692800000,20737.875,20345.9492,green
1667707200000,20751.8477,20352.5039,green
1667721600000,20773.1953,20362.0039,green
1667736000000,20783.8086,20366.7227,green
1667750400000,20804.0137,20376.0801,green
1667764800000,20823.7871,20391.1621,green
1667779200000,20832.6543,20402.3691,green
1667793600000,20822.709,20408.5781,green
1667808000000,20811.5977,20414.6465,green
1667822400000,20804.8008,20420.0859,green
1667836800000,20802.9199,20427.6992,green
1667851200000,20773.418,20434.7031,green
1667865600000,20718.9824,20430.6094,green
1667880000000,20482.3516,20379.166,green
1667894400000,20431.3809,20365.4668,green
1667908800000,20303.5938,20327.1758,red
1667923200000,19408.3848,19895.7305,red
1667937600000,19308.8086,19827.1543,red
1667952000000,19261.5156,19794.6465,red
1667966400000,19231.5391,19774.3223,red
1667980800000,19023.8379,19646.6602,red
1667995200000,18842.8887,19535.1523,red
1668009600000,18660.0117,19425.2012,red
1668024000000,18333.3359,19232.2266,red
1668038400000,18242.8398,19175.7539,red
1668052800000,18187.0742,19139.1758,red
1668067200000,18105.1953,19087.6699,red
1668081600000,17997.541,18994.6074,red
1668096000000,17967.7988,18960.0723,red
1668110400000,17952.5156,18934.4141,red
1668124800000,17920.6797,18907.5645,red
1668139200000,17893.1641,18882.6523,red
1668153600000,17877.0332,18867.4102,red
1668168000000,17780.8281,18799.1621,red
1668182400000,17739.6035,18770.8438,red
1668196800000,17709.6973,18749.1211,red
1668211200000,17696.4766,18739.6836,red
1668225600000,17675.2539,18726.1973,red
1668240000000,17656.9277,18714.4863,red
1668254400000,17641.6836,18704.6934,red
1668268800000,17632.2266,18698.8574,red
1668283200000,17620.0957,18691.9668,red
1668297600000,17606.9531,18684.4512,red
1668312000000,17581.3555,18671.5449,red
1668326400000,17541.709,18652.7871,red
1668340800000,17516.4102,18640.9902,red
1668355200000,17492.2754,18630.334,red
1668369600000,17411.5449,18596.625,red
1668384000000,17297.9902,18550.6113,red
1668398400000,17179.8203,18484.4414,red
1668412800000,17154.5527,18462.5195,red
1668427200000,17088.8008,18402.5898,red
1668441600000,17045.8184,18375.1934,red
1668456000000,17014.6875,18351.0742,red
1668470400000,16998.832,18332.1719,red
1668484800000,16989.8574,18319.0527,red
1668499200000,16978.6348,18298.416,red
1668513600000,16974.1914,18273.375,red
1668528000000,16961.5117,18249.0176,red
1668542400000,16956.6836,18237.8223,red
1668556800000,16954.127,18228.5293,red
1668571200000,16950.916,18220.1309,red
1668585600000,16938.8516,18204.8125,red
1668600000000,16871.9238,18151.1934,red
1668614400000,16855.3633,18135.6895,red
1668628800000,16845.1758,18122.2441,red
1668643200000,16836.4375,18112.4824,red
1668657600000,16824.0938,18100.4961,red
1668672000000,16812.5059,18088.502,red
1668686400000,16789.7012,18064.7461,red
1668700800000,16777.7695,18046.8438,red
1668715200000,16774.2793,18039.3457,red
1668729600000,16778.3848,18017.209,red
1668744000000,16777.5645,18009.1719,red
1668758400000,16775.8359,17999.5137,red
1668772800000,16769.4355,17985.1543,red
1668787200000,16762.2207,17973.0645,red
1668801600000,16759.7051,17967.5645,red
1668816000000,16755.2266,17961.1816,red
1668830400000,16750.5508,17955.5508,red
1668844800000,16747.4609,17950.6406,red
1668859200000,16745.0938,17946.9004,red
1668873600000,16741.7676,17942.5098,red
1668888000000,16738.4082,17930.8711,red
1668902400000,16735.6621,17924.6934,red
1668916800000,16734.5762,17921.3457,red
1668931200000,16709.0098,17896.8613,red
1668945600000,16694.2246,17880.8008,red
1668960000000,16690.0996,17875.4355,red
1668974400000,16622.5957,17830.9609,red
1668988800000,16504.3672,17765.9453,red
1669003200000,16453.332,17729.0117,red
1669017600000,16419.1797,17702.7793,red
1669032000000,16392.9453,17676.9727,red
1669046400000,16278.2363,17601.834,red
1669060800000,16181.4492,17530.7637,red
1669075200000,16151.3311,17497.252,red
1669089600000,16125.0537,17472.0469,red
1669104000000,16102,17449.2402,red
1669118400000,16092.957,17392.168,red
1669132800000,16095.6807,17372.9004,red
1669147200000,16098.7559,17358.8164,red
1669161600000,16134.9355,17332.582,red
1669176000000,16159.1562,17320.959,red
1669190400000,16181.9307,17310.4707,red
1669204800000,16204.0225,17291.7559,red
