ts_ms,close_research_slow_delta
1663200000000,-938.726562
1663214400000,-701.896484
1663228800000,-736.244141
1663243200000,-1006.36719
1663257600000,-918.126953
1663272000000,-950.962891
1663286400000,-883.384766
1663300800000,-863.513672
1663315200000,-699.832031
1663329600000,-829.537109
1663344000000,-787.300781
1663358400000,-591.552734
1663372800000,-484.113281
1663387200000,-510.355469
1663401600000,-531.257812
1663416000000,-364.058594
1663430400000,-298.048828
1663444800000,-175.457031
1663459200000,-288.15625
1663473600000,-232.208984
1663488000000,-329.3125
1663502400000,-422.880859
1663516800000,-445.298828
1663531200000,-682.011719
1663545600000,-1118.91016
1663560000000,-1226.4707
1663574400000,-935.765625
1663588800000,-444.884766
1663603200000,7.20507812
1663617600000,25.3105469
1663632000000,-140.337891
1663646400000,-134.941406
1663660800000,-267.414062
1663675200000,-203.152344
1663689600000,-393.347656
1663704000000,-492.333984
1663718400000,-332.021484
1663732800000,-387.976562
1663747200000,-151.970703
1663761600000,-116.865234
1663776000000,-274.679688
1663790400000,-734.810547
1663804800000,-476.556641
1663819200000,-217.496094
1663833600000,80.7089844
1663848000000,-153.34375
1663862400000,162.837891
1663876800000,251.224609
1663891200000,228.304688
1663905600000,61.9003906
1663920000000,-294.527344
1663934400000,-397.103516
1663948800000,-279.621094
1663963200000,194.884766
1663977600000,29.015625
1663992000000,-103.441406
1664006400000,-39.4160156
1664020800000,27.71875
1664035200000,10.2402344
1664049600000,-163.164062
1664064000000,-35.1894531
1664078400000,14.0976562
1664092800000,33.2128906
1664107200000,-87.4980469
1664121600000,-151.136719
1664136000000,-231.396484
1664150400000,-162.566406
1664164800000,-102.166016
1664179200000,-138.974609
1664193600000,95.6484375
1664208000000,175.033203
1664222400000,192.642578
1664236800000,891.408203
1664251200000,889.671875
1664265600000,885.140625
1664280000000,453.087891
1664294400000,-321.423828
1664308800000,-304.84375
1664323200000,-570.509766
1664337600000,-502.306641
1664352000000,-292.119141
1664366400000,237.328125
1664380800000,264.291016
1664395200000,126.990234
1664409600000,204.287109
1664424000000,56.9316406
1664438400000,149.880859
1664452800000,-5.9296875
1664467200000,98.9667969
1664481600000,277.183594
1664496000000,77.3125
1664510400000,243.345703
1664524800000,103.898438
1664539200000,340.042969
1664553600000,45.5351562
1664568000000,-9.2890625
1664582400000,-14.0566406
1664596800000,-111.162109
1664611200000,-112.349609
1664625600000,-87.359375
1664640000000,-148.8125
1664654400000,-102.740234
1664668800000,-100.091797
1664683200000,-124.673828
1664697600000,-196.703125
1664712000000,-238.599609
1664726400000,-121.324219
1664740800000,-287.710938
1664755200000,-159.560547
1664769600000,-122.496094
1664784000000,-63.2382812
1664798400000,20.7734375
1664812800000,208.896484
1664827200000,279.642578
1664841600000,238.816406
1664856000000,554.337891
1664870400000,468.099609
1664884800000,554.197266
1664899200000,636.785156
1664913600000,685.015625
1664928000000,512.548828
1664942400000,518.40625
1664956800000,296.564453
1664971200000,247.470703
1664985600000,319.529297
1665000000000,344.582031
1665014400000,496.628906
1665028800000,332.580078
1665043200000,340.830078
1665057600000,83.1484375
1665072000000,69.0507812
1665086400000,18.5625
1665100800000,41.6015625
1665115200000,-11.8867188
1665129600000,58.171875
1665144000000,-313.919922
1665158400000,-395.382812
1665172800000,-316.875
1665187200000,-336.445312
1665201600000,-332.423828
1665216000000,-285.482422
1665230400000,-328.890625
1665244800000,-346.519531
1665259200000,-360.066406
1665273600000,-401.324219
1665288000000,-342.960938
1665302400000,-266.304688
1665316800000,-183.525391
1665331200000,-235.048828
1665345600000,-246.578125
1665360000000,-228.679688
1665374400000,-248.921875
1665388800000,-273.316406
1665403200000,-303.660156
1665417600000,-321.1875
1665432000000,-370.707031
1665446400000,-425.839844
1665460800000,-370.642578
1665475200000,-280.142578
1665489600000,-226.876953
1665504000000,-359.513672
1665518400000,-279.244141
1665532800000,-283.880859
1665547200000,-212.46875
1665561600000,-196.996094
1665576000000,-139.115234
1665590400000,-135.431641
1665604800000,-114.291016
1665619200000,-179.275391
1665633600000,-240.539062
1665648000000,-400.908203
1665662400000,-43.5527344
1665676800000,345.261719
1665691200000,343.023438
1665705600000,712.193359
1665720000000,514.347656
1665734400000,443.763672
1665748800000,163.109375
1665763200000,-27.5839844
1665777600000,-20.3359375
1665792000000,10.3300781
1665806400000,-21.7910156
1665820800000,-26.4589844
1665835200000,-59.5644531
1665849600000,-93.7050781
1665864000000,-113.980469
1665878400000,-60.7148438
1665892800000,-45.5800781
1665907200000,-33.2871094
1665921600000,-21.0839844
1665936000000,190.341797
1665950400000,66.1679688
1665964800000,-5.29296875
1665979200000,102.535156
1665993600000,235.486328
1666008000000,266.34375
1666022400000,236.513672
1666036800000,248.392578
1666051200000,237.470703
1666065600000,332.542969
1666080000000,206.839844
1666094400000,-0.173828125
1666108800000,-137.707031
1666123200000,-26.2265625
1666137600000,-66.9511719
1666152000000,-124.925781
1666166400000,-138.119141
1666180800000,-53.1972656
1666195200000,-83.2441406
1666209600000,-182.498047
1666224000000,-237.652344
1666238400000,-129.25
1666252800000,-57.3027344
1666267200000,-8.1171875
1666281600000,-167.458984
1666296000000,-179.417969
1666310400000,-174.634766
1666324800000,-187.181641
1666339200000,-249.638672
1666353600000,17.9316406
1666368000000,40.2226562
1666382400000,15.3613281
1666396800000,5.953125
1666411200000,20.2480469
1666425600000,27.8613281
1666440000000,85.4296875
1666454400000,36.2304688
1666468800000,49.7910156
1666483200000,47.8945312
1666497600000,7.78515625
1666512000000,-2.51953125
1666526400000,36.8378906
1666540800000,303.292969
1666555200000,332.951172
1666569600000,141.59375
1666584000000,65.640625
1666598400000,151.589844
1666612800000,32.9335938
1666627200000,60.2480469
1666641600000,49.1796875
1666656000000,59.5546875
1666670400000,21.3691406
1666684800000,14.921875
1666699200000,385.109375
1666713600000,705.376953
1666728000000,462.025391
1666742400000,599.273438
1666756800000,658.117188
1666771200000,750.931641
1666785600000,805.207031
1666800000000,667.314453
1666814400000,629.851562
1666828800000,586.123047
1666843200000,526.845703
1666857600000,390.574219
1666872000000,275.384766
1666886400000,334.728516
1666900800000,-1.41796875
1666915200000,-9.37304688
1666929600000,-207.933594
1666944000000,-108.037109
1666958400000,182.791016
1666972800000,297.84375
1666987200000,275.123047
1667001600000,418.253906
1667016000000,427.746094
1667030400000,295.166016
1667044800000,499.5
1667059200000,387.900391
1667073600000,347.90625
1667088000000,297.845703
1667102400000,351.798828
1667116800000,260.197266
1667131200000,160.082031
1667145600000,118.984375
1667160000000,89.5488281
1667174400000,-15.2421875
1667188800000,13.4414062
1667203200000,178.761719
1667217600000,-136.144531
1667232000000,-162.28125
1667246400000,-32.0175781
1667260800000,-46.0585938
1667275200000,63.6855469
1667289600000,-13
1667304000000,-77.3359375
1667318400000,-70.5839844
1667332800000,-40.4082031
1667347200000,0.74609375
1667361600000,-83.5820312
1667376000000,-76.7539062
1667390400000,-90.5390625
1667404800000,-201.033203
1667419200000,-276.398438
1667433600000,-111.677734
1667448000000,-114.923828
1667462400000,-272.59375
1667476800000,-120.794922
1667491200000,-110.347656
1667505600000,-150.921875
1667520000000,-39.28125
1667534400000,234.423828
1667548800000,168.009766
1667563200000,318.232422
1667577600000,538.958984
1667592000000,554.634766
1667606400000,802.519531
1667620800000,731.9375
1667635200000,720.695312
1667649600000,598.929688
1667664000000,613.716797
1667678400000,575.177734
1667692800000,491.125
1667707200000,439.652344
1667721600000,468.804688
1667736000000,450.691406
1667750400000,388.486328
1667764800000,79.7128906
1667779200000,71.8457031
1667793600000,-201.208984
1667808000000,-90.0976562
1667822400000,-46.3007812
1667836800000,27.5800781
1667851200000,-187.917969
1667865600000,-578.482422
1667880000000,-698.351562
1667894400000,-737.880859
1667908800000,-785.09375
1667923200000,-1153.38477
1667937600000,-772.308594
1667952000000,-965.515625
1667966400000,-1016.53906
1667980800000,-1245.33789
1667995200000,-1756.38867
1668009600000,-1922.51172
1668024000000,-2467.33594
1668038400000,-1954.83984
1668052800000,-1522.07422
1668067200000,-1904.69531
1668081600000,-481.541016
1668096000000,-577.798828
1668110400000,-397.015625
1668124800000,-933.179688
1668139200000,-534.664062
1668153600000,-591.033203
1668168000000,-953.828125
1668182400000,-955.603516
1668196800000,-711.697266
1668211200000,-847.976562
1668225600000,-916.253906
1668240000000,-846.927734
1668254400000,-757.183594
1668268800000,-788.226562
1668283200000,-847.095703
1668297600000,-736.953125
1668312000000,-854.855469
1668326400000,-922.708984
1668340800000,-979.410156
1668355200000,-967.775391
1668369600000,-1111.04492
1668384000000,-1199.49023
1668398400000,-410.820312
1668412800000,-456.552734
1668427200000,-530.300781
1668441600000,-828.318359
1668456000000,-439.1875
1668470400000,-231.332031
1668484800000,-184.357422
1668499200000,-220.134766
1668513600000,-23.6914062
1668528000000,-137.511719
1668542400000,-95.1835938
1668556800000,-11.6269531
1668571200000,-134.916016
1668585600000,-247.351562
1668600000000,-462.423828
1668614400000,-322.863281
1668628800000,-209.175781
1668643200000,-334.9375
1668657600000,-238.09375
1668672000000,-234.005859
1668686400000,-279.701172
1668700800000,-175.269531
1668715200000,-101.279297
1668729600000,49.1152344
1668744000000,-54.5644531
1668758400000,-47.3359375
1668772800000,-98.9355469
1668787200000,-121.720703
1668801600000,-84.7050781
1668816000000,-154.726562
1668830400000,-164.550781
1668844800000,-96.9609375
1668859200000,-124.09375
1668873600000,-140.767578
1668888000000,-63.4082031
1668902400000,-81.6621094
1668916800000,-44.0761719
1668931200000,-208.509766
1668945600000,-131.724609
1668960000000,-122.099609
1668974400000,-352.595703
1668988800000,-452.367188
1669003200000,-450.832031
1669017600000,-362.179688
1669032000000,-296.945312
1669046400000,-582.736328
1669060800000,-436.949219
1669075200000,-337.331055
1669089600000,-382.553711
1669104000000,-367
1669118400000,109.542969
1669132800000,41.3193359
1669147200000,94.7441406
1669161600000,412.064453
1669176000000,385.34375
1669190400000,371.569336
1669204800000,202.477539
1669219200000,218.135742
1669233600000,330.512695
1669248000000,413.620117
1669262400000,300.558594
1669276800000,251.004883
1669291200000,230.385742
1669305600000,229.535156
1669320000000,241.59375
1669334400000,138.242188
1669348800000,98.2275391
1669363200000,155.094727
1669377600000,121.24707
1669392000000,132.274414
1669406400000,120.661133
1669420800000,202.595703
1669435200000,159.269531
1669449600000,151.103516
1669464000000,76.5800781
1669478400000,56.5839844
1669492800000,24.4863281
1669507200000,99.9863281
1669521600000,130.488281
1669536000000,113.792969
1669550400000,122.242188
1669564800000,111.246094
1669579200000,-27.5585938
1669593600000,-223.816406
1669608000000,-175.967773
1669622400000,-166.585938
1669636800000,-191.15625
1669651200000,-86.5517578
1669665600000,-92.1845703
1669680000000,-24.6904297
1669694400000,136.177734
1669708800000,159.038086
1669723200000,50.3769531
1669737600000,81.4648438
1669752000000,95.390625
1669766400000,404.710938
1669780800000,425.390625
1669795200000,410.289062
1669809600000,362.007812
1669824000000,463.183594
1669838400000,516.578125
1669852800000,474.794922
1669867200000,389.345703
1669881600000,413.660156
1669896000000,217.394531
1669910400000,189.431641
1669924800000,194.640625
1669939200000,115.017578
1669953600000,168.167969
1669968000000,195.589844
1669982400000,123.945312
1669996800000,174.589844
1670011200000,259.044922
1670025600000,178.873047
1670040000000,115.660156
1670054400000,92.0136719
1670068800000,96.4414062
1670083200000,89.8417969
1670097600000,26.8066406
1670112000000,92.7207031
1670126400000,117.052734
1670140800000,63.8515625
1670155200000,139.804688
1670169600000,167.820312
1670184000000,173.962891
1670198400000,231.796875
1670212800000,300.431641
1670227200000,280.046875
1670241600000,38.0566406
1670256000000,-110.083984
1670270400000,-52.7109375
1670284800000,-28.2285156
1670299200000,-19.203125
1670313600000,-32.5292969
1670328000000,-35.3320312
1670342400000,-36.6132812
1670356800000,69.8261719
1670371200000,-0.71484375
1670385600000,-230.222656
1670400000000,-182.285156
1670414400000,-129.677734
1670428800000,-148.636719
1670443200000,-129.871094
1670457600000,-120.302734
1670472000000,-135.822266
1670486400000,-80.1875
1670500800000,-6.640625
1670515200000,276.566406
1670529600000,230.726562
1670544000000,194.884766
1670558400000,203.244141
1670572800000,222.974609
1670587200000,134.451172
1670601600000,101.150391
1670616000000,75.9785156
1670630400000,92.2949219
1670644800000,94.2363281
1670659200000,105.75
1670673600000,139.308594
1670688000000,93.9316406
1670702400000,53.2871094
1670716800000,76.6699219
1670731200000,100.443359
1670745600000,84.6386719
1670760000000,78.0234375
1670774400000,79.6386719
1670788800000,-7.27929688
1670803200000,-157.189453
1670817600000,-142.724609
1670832000000,-69.6210938
1670846400000,-46.3808594
1670860800000,-3.9921875
