ts_ms,research_source_1_ang_pct_span_10
1666828800000,-7.01852226
1666843200000,-7.09616661
1666857600000,-7.02525759
1666872000000,-6.62512493
1666886400000,-6.06632471
1666900800000,-5.44871664
1666915200000,-4.91641188
1666929600000,-4.55226421
1666944000000,-4.2016468
1666958400000,-3.89363623
1666972800000,-3.43822455
1666987200000,-2.97196245
1667001600000,-2.85196805
1667016000000,-2.86276293
1667030400000,-2.72638416
1667044800000,-2.6315999
1667059200000,-2.11845875
1667073600000,-1.55070055
1667088000000,-1.10281372
1667102400000,-0.961766899
1667116800000,-1.05732167
1667131200000,-1.08083618
1667145600000,-1.32095373
1667160000000,-1.63876009
1667174400000,-1.98663008
1667188800000,-2.38954449
1667203200000,-2.99928975
1667217600000,-3.65033746
1667232000000,-4.05356836
1667246400000,-4.05140591
1667260800000,-4.14533949
1667275200000,-3.96420765
1667289600000,-3.72288156
1667304000000,-3.45660114
1667318400000,-3.34028625
1667332800000,-3.20599174
1667347200000,-3.00355172
1667361600000,-2.83485913
1667376000000,-2.91833305
1667390400000,-2.82957959
1667404800000,-2.69692016
1667419200000,-2.65984511
1667433600000,-2.61585641
1667448000000,-2.58696508
1667462400000,-2.55923319
1667476800000,-2.5975306
1667491200000,-2.56302929
1667505600000,-2.48065758
1667520000000,-2.39363289
1667534400000,-2.2127285
1667548800000,-1.60995734
1667563200000,-1.02150595
1667577600000,-0.309360325
1667592000000,0.607910216
1667606400000,1.55342185
1667620800000,2.3856647
1667635200000,3.17771411
1667649600000,4.02091789
1667664000000,4.64604139
1667678400000,4.74126148
1667692800000,4.80203867
1667707200000,4.75210905
1667721600000,4.79788399
1667736000000,4.78235435
1667750400000,4.74125576
1667764800000,4.62004614
1667779200000,4.4157095
1667793600000,4.04823256
1667808000000,3.86240053
1667822400000,3.70568514
1667836800000,3.51629138
1667851200000,2.8772893
1667865600000,1.92098856
1667880000000,1.07344365
1667894400000,0.351290733
1667908800000,-0.478032142
1667923200000,-1.60394263
1667937600000,-2.56158519
1667952000000,-3.65571952
1667966400000,-4.80629158
1667980800000,-6.10039997
1667995200000,-7.19168091
1668009600000,-8.21967506
1668024000000,-9.54427719
1668038400000,-10.6229172
1668052800000,-10.8836412
1668067200000,-11.4654922
1668081600000,-11.4835854
1668096000000,-11.3817663
1668110400000,-10.9408197
1668124800000,-10.4526043
1668139200000,-10.0088415
1668153600000,-9.38463211
1668168000000,-9.09492016
1668182400000,-9.12392998
1668196800000,-8.89914036
1668211200000,-9.25223541
1668225600000,-9.77236271
1668240000000,-10.2936049
1668254400000,-10.7173223
1668268800000,-11.3040161
1668283200000,-11.7633505
1668297600000,-12.0387945
1668312000000,-12.3421268
1668326400000,-12.9196911
1668340800000,-13.2514009
1668355200000,-13.5567131
1668369600000,-13.906496
1668384000000,-14.337615
1668398400000,-14.5093203
1668412800000,-14.6926279
1668427200000,-15.048048
1668441600000,-15.265686
1668456000000,-14.9819231
1668470400000,-14.8804178
1668484800000,-14.5344563
1668499200000,-14.2298784
1668513600000,-13.587368
1668528000000,-13.1361618
1668542400000,-12.6323996
1668556800000,-12.0089722
1668571200000,-11.3514814
1668585600000,-11.2322063
1668600000000,-11.1239042
1668614400000,-11.0237865
1668628800000,-10.9477262
1668643200000,-10.9993162
1668657600000,-10.858717
1668672000000,-10.8385944
1668686400000,-10.9762068
1668700800000,-11.0916862
1668715200000,-11.0133648
1668729600000,-10.8708658
1668744000000,-10.8229923
1668758400000,-10.7726784
1668772800000,-10.857688
1668787200000,-10.9743576
1668801600000,-10.9505119
1668816000000,-10.7668915
1668830400000,-10.7869101
1668844800000,-10.6972246
1668859200000,-10.530467
1668873600000,-10.4947577
1668888000000,-10.414588
1668902400000,-10.1122971
1668916800000,-9.95690441
1668931200000,-10.0623236
1668945600000,-10.1437654
1668960000000,-10.167552
1668974400000,-10.666832
1668988800000,-11.6855383
1669003200000,-12.6556177
1669017600000,-13.7283993
1669032000000,-15.0153084
1669046400000,-16.1817188
1669060800000,-16.9709473
1669075200000,-17.8447227
1669089600000,-18.7688007
1669104000000,-19.3005161
1669118400000,-19.1520519
1669132800000,-18.9290581
1669147200000,-18.5509892
1669161600000,-18.0707474
1669176000000,-17.598362
1669190400000,-17.2663364
1669204800000,-16.6861324
1669219200000,-16.0515041
1669233600000,-15.2554064
1669248000000,-14.7988396
1669262400000,-14.5206852
1669276800000,-14.28374
1669291200000,-13.7441912
1669305600000,-12.6441565
1669320000000,-11.5935659
1669334400000,-10.8020182
1669348800000,-9.63911915
1669363200000,-8.1132555
1669377600000,-6.71478558
1669392000000,-4.84689856
1669406400000,-2.89626908
