ts_ms,bb_middle,bb_upper_band,bb_lower_band
1611460800000,32244.8574,33744.0469,30745.666
1611475200000,32383.6074,33732.9766,31034.2383
1611489600000,32465.6777,33543.5625,31387.7949
1611504000000,32435.4648,33612.2031,31258.7266
1611518400000,32420.9277,33599.4414,31242.416
1611532800000,32419.7148,33593.2695,31246.1602
1611547200000,32448.2852,33694.25,31202.3203
1611561600000,32506.0723,33811.5234,31200.6191
1611576000000,32615.4648,34268.75,30962.1758
1611590400000,32739.6426,34354.5391,31124.748
1611604800000,32763.8574,34337.3945,31190.3203
1611619200000,32702.75,34395.0703,31010.4297
1611633600000,32670.3926,34424.7188,30916.0684
1611648000000,32620.9648,34429.1406,30812.7852
1611662400000,32543.6074,34399.3789,30687.834
1611676800000,32495.5352,34346.6484,30644.4238
1611691200000,32532.1426,34362.4062,30701.8809
1611705600000,32569.0723,34318.8672,30819.2754
1611720000000,32533.5723,34324.2227,30742.9199
1611734400000,32321.25,34249.457,30393.0449
1611748800000,32104.1426,34176.4648,30031.8203
1611763200000,31928.4277,34013.0195,29843.8359
1611777600000,31634.5,33303.4141,29965.5879
1611792000000,31496.5352,32839.5977,30153.4746
1611806400000,31424.3574,32706.9844,30141.7305
1611820800000,31421.6426,32703.6777,30139.6074
1611835200000,31445.25,32753.9863,30136.5137
1611849600000,31503.3223,32938.4844,30068.1582
1611864000000,31624.7852,33378.4453,29871.125
1611878400000,31739.6074,33816.8633,29662.3516
1611892800000,31728.3223,33790.418,29666.2266
1611907200000,32111.1777,35603.75,28618.6074
1611921600000,32500.2852,36868.6016,28131.9688
1611936000000,32760.8223,37089.1602,28432.4824
1611950400000,33036.5,37207.0898,28865.9102
1611964800000,33215.6445,37188.7695,29242.5156
1611979200000,33478.8945,37144.0391,29813.7461
1611993600000,33637.0703,37132.2539,30141.8906
1612008000000,33854.8203,37093.457,30616.1875
1612022400000,34059.5703,37020.8125,31098.332
1612036800000,34228.5,36952.8711,31504.1289
1612051200000,34324.5352,36907.5117,31741.5605
1612065600000,34337.2148,36904.7773,31769.6523
1612080000000,34321.3945,36903.8125,31738.9727
1612094400000,34360.8945,36836.1836,31885.6016
1612108800000,34050.5703,36075.7266,32025.418
1612123200000,33757.3945,34800.4258,32714.3594
1612137600000,33710.6055,34712.2695,32708.9434
1612152000000,33684.8203,34650.5938,32719.0469
1612166400000,33754.9648,34729.1562,32780.7695
1612180800000,33691.1797,34690.3438,32692.0137
1612195200000,33702.8945,34706.1992,32699.5879
1612209600000,33649.6055,34602.9688,32696.2461
1612224000000,33595.7852,34468.7383,32722.832
1612238400000,33592.6055,34455.1055,32730.1094
1612252800000,33651.0352,34699.2578,32602.8164
1612267200000,33729.8945,34918.7031,32541.082
1612281600000,33886.6797,35482.3477,32291.0098
1612296000000,34073.9297,35775.6523,32372.2051
1612310400000,34333.2148,36295.8555,32370.5742
1612324800000,34564.6055,36667.1992,32462.0156
1612339200000,34737.2852,36901.4883,32573.082
1612353600000,34958.3203,37339.9492,32576.6934
1612368000000,35147.9648,37688.1445,32607.7852
1612382400000,35471.7148,38080.5078,32862.918
1612396800000,35737.6445,38396.6445,33078.6406
1612411200000,36052,38633.3438,33470.6562
1612425600000,36323.3555,38590.7734,34055.9414
1612440000000,36489.8945,38456.7031,34523.082
1612454400000,36686.7148,38477.2891,34896.1406
1612468800000,36849.2852,38281.0508,35417.5195
